id,user_id,data
68,20240910125609328735,"{""current_url"": ""/4-system_analysis"", ""existing_id"": ""20240910125609328735"", ""viewport_size"": {""width"": 2364, ""height"": 1360}, ""impairment"": ""No"", ""work"": [""research""], ""expertise"": ""climate risk scenarios; risk assesment for regions; hydrology"", ""use_frequency"": 4, ""viztype_barchart"": 2, ""viztype_pcp"": 4, ""viztype_heatmap"": 4, ""viztype_pathways"": 2, ""completed_introduction"": ""yes"", ""pathway_number"": 7, ""f_resilient_crops"": 2, ""long_term"": ""small_dikes"", ""flexibility"": ""Flood_Resilient_Crops"", ""alternatives_easy"": 4, ""alternatives_confidence"": 4, ""alternatives_enough_information"": 2, ""alternatives_scalability"": 4, ""alternative_challenge"": ""What is most the option to be implemented at a later stage. Large dike increase are the last option most often. However, small dike elevations occur most often in the last two steps. Requires some thinking "", ""alternative_advantage"": ""Clear what the order of options is. What options allow flexiibility"", ""completed_alternative_pathways"": ""yes"", ""risk_owner_hazard"": ""flood_agr"", ""timehorizon"": ""60"", ""scenarios"": ""Wp"", ""robustness_metric"": ""average"", ""robustness_plot"": ""StackedBar"", ""interacting_sectors"": [""drought_agr""], ""coding"": ""different objectives"", ""crop_loss"": 50, ""robustness"": [4], ""tradeoff"": [0], ""general_interactions"": ""synergies"", ""interaction_least_productivity_loss"": [4, 3], ""robustness_easy"": 4, ""robustness_enough_information"": 4, ""robustness_enough_informationn"": 3, ""robustness_scalability"": 4, ""robustness_challenge"": ""The crop productivity loss stays at 20 when hovering over different bars;\nthe synergies are not clear they subtract from the bar. Maybe add - pattern and + pattern in the bars instead?"", ""completed_pathways_robustness"": ""yes"", ""robustness_advantage"": ""I like to see the interaction effects"", ""sectoral_interactions_maps"": ""drought_agr"", ""first_measure"": 2052, ""number_measures"": 2, ""most_flexible15"": ""Flood_Resilient_Crops"", ""most_flexible4"": ""Flood_Resilient_Crops"", ""timing_shifts"": ""earlier"", ""ditch_shift"": -4, ""pathways_maps_easy"": 3, ""pathways_maps_confidence"": 4, ""pathways_maps_enough_information"": 3, ""pathways_maps_scalability"": 3, ""pathways_challenge"": ""Not clear if in the flood resillient crops pathways both subsequent measures need to be taken or only one of two .\nPathway numbers were not very clear. Maybe put them at the right hand side?"", ""pathways_advantage"": ""I like seeing the timing effects."", ""completed_pathways_maps"": ""yes"", ""pathway_flood_agr"": [1], ""pathway_drought_agr"": [5], ""pathway_flood_urb"": [6, 3], ""pathway_drought_shp"": [0], ""system_analysis_focus"": ""system_performance"", ""system_analysis_pathways_1560"": 2, ""system_analysis_pathways_1530"": 1, ""system_analysis_pathways_which_better"": ""3"", ""system_analysis_performance_1560"": 110, ""system_analysis_performance_1530"": 20, ""system_analysis_performance_which_better"": ""3"", ""system_analysis_pathways_easy"": 4, ""system_analysis_performance_easy"": 2, ""system_analysis_pathways_confidence"": 4, ""system_analysis_performance_confidence"": 4, ""system_analysis_pathways_enough_information"": 3, ""system_analysis_performance_enough_information"": 3, ""system_analysis_pathways_scalability"": 4, ""system_analysis_performance_scalability"": 2, ""system_analysis_challenge"": ""The numbers indicating the pathway combinations in the performance heatmap is tricky to follow  "", ""system_analysis_advantage"": ""Nice the doing fewer things corresponds to better flood farmer costs"", ""completed_system_analysis"": ""yes""}"
1,20240903093424525645,"{""existing_id"": ""20240903093424525645"", ""viewport_size"": {""width"": 1920, ""height"": 927}, ""current_url"": ""/3-pathways-maps"", ""completed_introduction"": ""yes"", ""impairment"": ""No"", ""work"": [""research""], ""expertise"": ""adaptation pathways; multi-risk; flood risk management"", ""use_frequency"": 4, ""viztype_barchart"": 3, ""viztype_pcp"": 2, ""viztype_heatmap"": 4, ""viztype_pathways"": 3, ""risk_owner_hazard"": ""flood_agr"", ""interactions"": [{""label"": ""No interactions"", ""value"": [""no_interactions""]}, {""label"": ""Farmer - Drought"", ""value"": [""drought_agr""]}, {""label"": ""Municipality - Flood"", ""value"": [""flood_urb""]}, {""label"": ""Ship company - Drought"", ""value"": [""drought_shp""]}, {""label"": ""Farmer - Drought & Municipality - Flood"", ""value"": [""drought_agr"", ""flood_urb""]}, {""label"": ""Farmer - Drought & Ship company - Drought"", ""value"": [""drought_agr"", ""drought_shp""]}, {""label"": ""Municipality - Flood & Ship company - Drought"", ""value"": [""flood_urb"", ""drought_shp""]}, {""label"": ""Farmer - Drought & Municipality - Flood & Ship company - Drought"", ""value"": [""drought_agr"", ""flood_urb"", ""drought_shp""]}], ""pathway_number"": 7, ""f_resilient_crops"": 2, ""long_term"": ""large_dikes"", ""flexibility"": ""Flood_Resilient_Crops"", ""easy"": 5, ""confidence"": 5, ""enough_information"": 5, ""scalability"": 5, ""alternative_challenge"": ""information is spread over the entire figure (e.g. to find most flexible measure) I need to read the y-axis on the right) and move back to the left."", ""alternative_advantage"": ""hover information very helpful"", ""completed_alternative_pathways"": ""yes"", ""completed_pathways_robustness"": ""yes"", ""timehorizon"": ""60"", ""scenarios"": ""Wp"", ""robustness_metric"": ""average"", ""robustness_plot"": ""StackedBar"", ""interacting_sectors_robustness"": [""drought_agr""], ""coding"": ""objectives"", ""crop_loss"": 60, ""robustness"": [4], ""tradeoff"": [2], ""general_interactions"": ""synergies"", ""interaction_least_productivity_loss"": [4], ""likkert_use-robustness_easy"": 3, ""likkert_use-robustness_confidence"": 3, ""likkert_use-robustness_enough_information"": 4, ""likkert_use-robustness_scalability"": 2, ""robustness_challenge"": ""quite complex visualization. counter-intuitive to map best performance on shorter lengths. interaction effects seem to increase lenght of bar."", ""robustness_advantage"": ""nothing"", ""sectoral_interactions_maps"": [""drought_agr""], ""first_measure"": 2049, ""number_measures"": 2, ""most_flexible15"": [7], ""most_flexible4"": [7], ""timing_shifts"": ""earlier"", ""ditch_shift"": 1, ""likkert_use-pathways_maps_easy"": 4, ""likkert_use-pathways_maps_confidence"": 4, ""likkert_use-pathways_maps_enough_information"": 4, ""likkert_use-pathways_maps_scalability"": 4, ""pathways_challenge"": ""none"", ""pathways_advantage"": ""none"", ""completed_pathways_maps"": ""yes""}"
2,20240903095513697053,"{""existing_id"": ""20240903095513697053"", ""viewport_size"": {""width"": 1280, ""height"": 567}, ""current_url"": ""/3-pathways-maps"", ""completed_introduction"": ""yes"", ""impairment"": ""No"", ""work"": [""research""], ""expertise"": ""f"", ""use_frequency"": 1, ""viztype_barchart"": 1, ""viztype_pcp"": 1, ""viztype_heatmap"": 1, ""viztype_pathways"": 1, ""risk_owner_hazard"": ""flood_agr"", ""interactions"": [{""label"": ""No interactions"", ""value"": [""no_interactions""]}, {""label"": ""Farmer - Drought"", ""value"": [""drought_agr""]}, {""label"": ""Municipality - Flood"", ""value"": [""flood_urb""]}, {""label"": ""Ship company - Drought"", ""value"": [""drought_shp""]}, {""label"": ""Farmer - Drought & Municipality - Flood"", ""value"": [""drought_agr"", ""flood_urb""]}, {""label"": ""Farmer - Drought & Ship company - Drought"", ""value"": [""drought_agr"", ""drought_shp""]}, {""label"": ""Municipality - Flood & Ship company - Drought"", ""value"": [""flood_urb"", ""drought_shp""]}, {""label"": ""Farmer - Drought & Municipality - Flood & Ship company - Drought"", ""value"": [""drought_agr"", ""flood_urb"", ""drought_shp""]}], ""pathway_number"": 3, ""f_resilient_crops"": 3, ""long_term"": ""Flood_Resilient_Crops"", ""flexibility"": ""large_dikes"", ""easy"": 1, ""confidence"": 2, ""enough_information"": 2, ""scalability"": 2, ""alternative_challenge"": ""f"", ""alternative_advantage"": ""f"", ""completed_alternative_pathways"": ""yes"", ""completed_pathways_robustness"": ""yes"", ""coding"": ""d"", ""crop_loss"": 3, ""robustness"": [1], ""tradeoff"": [1], ""general_interactions"": ""no_effect"", ""interaction_least_productivity_loss"": [1], ""likkert_use-robustness_easy"": 1, ""likkert_use-robustness_confidence"": 1, ""likkert_use-robustness_enough_information"": 1, ""likkert_use-robustness_scalability"": 1, ""robustness_challenge"": ""f"", ""robustness_advantage"": ""f"", ""completed_pathways_maps"": ""yes"", ""first_measure"": 4, ""number_measures"": 4, ""most_flexible15"": ""small_dikes"", ""most_flexible4"": ""local_support"", ""timing_shifts"": ""later"", ""ditch_shift"": 5, ""likkert_use-pathways_maps_easy"": 2, ""likkert_use-pathways_maps_confidence"": 2, ""likkert_use-pathways_maps_enough_information"": 1, ""likkert_use-pathways_maps_scalability"": 1, ""pathways_challenge"": ""f"", ""pathways_advantage"": ""f""}"
4,20240903101649829897,"{""existing_id"": ""20240903101649829897"", ""viewport_size"": {""width"": 775, ""height"": 304}, ""current_url"": ""/0-introduction"", ""completed_introduction"": ""yes"", ""impairment"": ""No"", ""work"": [""research""], ""expertise"": ""Adaptation "", ""use_frequency"": 4, ""viztype_barchart"": 3, ""viztype_pcp"": 2, ""viztype_heatmap"": 3, ""viztype_pathways"": 1, ""risk_owner_hazard"": ""flood_agr"", ""interactions"": [{""label"": ""No interactions"", ""value"": [""no_interactions""]}, {""label"": ""Farmer - Drought"", ""value"": [""drought_agr""]}, {""label"": ""Municipality - Flood"", ""value"": [""flood_urb""]}, {""label"": ""Ship company - Drought"", ""value"": [""drought_shp""]}, {""label"": ""Farmer - Drought & Municipality - Flood"", ""value"": [""drought_agr"", ""flood_urb""]}, {""label"": ""Farmer - Drought & Ship company - Drought"", ""value"": [""drought_agr"", ""drought_shp""]}, {""label"": ""Municipality - Flood & Ship company - Drought"", ""value"": [""flood_urb"", ""drought_shp""]}, {""label"": ""Farmer - Drought & Municipality - Flood & Ship company - Drought"", ""value"": [""drought_agr"", ""flood_urb"", ""drought_shp""]}]}"
5,20240903123152327056,"{""existing_id"": ""20240903123152327056"", ""viewport_size"": {""width"": 2552, ""height"": 1316}, ""current_url"": ""/2-pathways-robustness"", ""completed_introduction"": ""yes"", ""impairment"": ""No"", ""work"": [""research""], ""expertise"": ""flood; risk"", ""use_frequency"": 3, ""viztype_barchart"": 4, ""viztype_pcp"": 3, ""viztype_heatmap"": 4, ""viztype_pathways"": 3, ""risk_owner_hazard"": ""flood_agr"", ""interactions"": [{""label"": ""No interactions"", ""value"": [""no_interactions""]}, {""label"": ""Farmer - Drought"", ""value"": [""drought_agr""]}, {""label"": ""Municipality - Flood"", ""value"": [""flood_urb""]}, {""label"": ""Ship company - Drought"", ""value"": [""drought_shp""]}, {""label"": ""Farmer - Drought & Municipality - Flood"", ""value"": [""drought_agr"", ""flood_urb""]}, {""label"": ""Farmer - Drought & Ship company - Drought"", ""value"": [""drought_agr"", ""drought_shp""]}, {""label"": ""Municipality - Flood & Ship company - Drought"", ""value"": [""flood_urb"", ""drought_shp""]}, {""label"": ""Farmer - Drought & Municipality - Flood & Ship company - Drought"", ""value"": [""drought_agr"", ""flood_urb"", ""drought_shp""]}], ""pathway_number"": 7, ""f_resilient_crops"": 2, ""long_term"": ""large_dikes"", ""flexibility"": ""Flood_Resilient_Crops"", ""easy"": 4, ""confidence"": 3, ""enough_information"": 3, ""scalability"": 4, ""alternative_challenge"": ""It was difficult to assess which option is the most flexible as you have to oversee the whole figure. The colors are not heling this assessment"", ""alternative_advantage"": ""I like the colors: purple for the local measures and green for the large scale measures"", ""completed_alternative_pathways"": ""yes"", ""completed_pathways_robustness"": ""yes"", ""timehorizon"": ""60"", ""scenarios"": ""D"", ""robustness_metric"": ""average"", ""robustness_plot"": ""PCP"", ""interacting_sectors_robustness"": [""drought_agr""], ""coding"": ""each color is one pathway"", ""crop_loss"": 60, ""robustness"": [4], ""tradeoff"": [1], ""general_interactions"": ""synergies"", ""interaction_least_productivity_loss"": [5], ""likkert_use-robustness_easy"": 4, ""likkert_use-robustness_confidence"": 3, ""likkert_use-robustness_enough_information"": 2, ""likkert_use-robustness_scalability"": 4, ""robustness_challenge"": ""its is difficult to distuingish between pathways; It would be great that if you click on a pathway, the pathway becomes thicker, so you can see its scores more easily"", ""robustness_advantage"": ""Great to see the scores over several indicators and to allow for comparison across pathways"", ""sectoral_interactions_maps"": [""no_interactions""]}"
3,20240903100805540119,"{""existing_id"": ""20240903100805540119"", ""viewport_size"": {""width"": 1920, ""height"": 927}, ""current_url"": ""/2-pathways-robustness"", ""completed_introduction"": ""yes"", ""impairment"": ""No"", ""work"": [""research""], ""expertise"": ""3"", ""viztype_barchart"": 1, ""viztype_pcp"": 1, ""viztype_heatmap"": 2, ""viztype_pathways"": 2, ""use_frequency"": 1, ""risk_owner_hazard"": ""flood_agr"", ""interactions"": [{""label"": ""No interactions"", ""value"": [""no_interactions""]}, {""label"": ""Farmer - Drought"", ""value"": [""drought_agr""]}, {""label"": ""Municipality - Flood"", ""value"": [""flood_urb""]}, {""label"": ""Ship company - Drought"", ""value"": [""drought_shp""]}, {""label"": ""Farmer - Drought & Municipality - Flood"", ""value"": [""drought_agr"", ""flood_urb""]}, {""label"": ""Farmer - Drought & Ship company - Drought"", ""value"": [""drought_agr"", ""drought_shp""]}, {""label"": ""Municipality - Flood & Ship company - Drought"", ""value"": [""flood_urb"", ""drought_shp""]}, {""label"": ""Farmer - Drought & Municipality - Flood & Ship company - Drought"", ""value"": [""drought_agr"", ""flood_urb"", ""drought_shp""]}], ""pathway_number"": 5, ""f_resilient_crops"": 3, ""long_term"": ""small_dikes"", ""flexibility"": ""small_dikes"", ""easy"": 1, ""confidence"": 1, ""enough_information"": 2, ""scalability"": 2, ""alternative_challenge"": ""4"", ""alternative_advantage"": ""4"", ""completed_alternative_pathways"": ""yes"", ""completed_pathways_robustness"": ""yes"", ""timehorizon"": ""60"", ""scenarios"": ""G"", ""robustness_metric"": ""average"", ""robustness_plot"": ""StackedBar"", ""interacting_sectors_robustness"": [""no_interactions""], ""coding"": ""3"", ""crop_loss"": 4, ""robustness"": [2], ""tradeoff"": [2], ""general_interactions"": ""no_effect"", ""interaction_least_productivity_loss"": [2], ""likkert_use-robustness_easy"": 2, ""likkert_use-robustness_confidence"": 2, ""likkert_use-robustness_enough_information"": 2, ""likkert_use-robustness_scalability"": 2, ""robustness_challenge"": ""f"", ""robustness_advantage"": ""f"", ""sectoral_interactions_maps"": null}"
6,20240906151249104893,"{""existing_id"": ""20240906151249104893"", ""viewport_size"": {""width"": 1920, ""height"": 927}, ""current_url"": ""/0-introduction"", ""completed_introduction"": ""yes"", ""impairment"": ""No"", ""work"": [""research""], ""expertise"": ""f"", ""use_frequency"": 1, ""viztype_barchart"": 1, ""viztype_pcp"": 1, ""viztype_heatmap"": 1, ""viztype_pathways"": 1, ""risk_owner_hazard"": ""flood_agr"", ""interactions"": [{""label"": ""No interactions"", ""value"": [""no_interactions""]}, {""label"": ""Farmer - Drought"", ""value"": [""drought_agr""]}, {""label"": ""Municipality - Flood"", ""value"": [""flood_urb""]}, {""label"": ""Ship company - Drought"", ""value"": [""drought_shp""]}, {""label"": ""Farmer - Drought & Municipality - Flood"", ""value"": [""drought_agr"", ""flood_urb""]}, {""label"": ""Farmer - Drought & Ship company - Drought"", ""value"": [""drought_agr"", ""drought_shp""]}, {""label"": ""Municipality - Flood & Ship company - Drought"", ""value"": [""flood_urb"", ""drought_shp""]}, {""label"": ""Farmer - Drought & Municipality - Flood & Ship company - Drought"", ""value"": [""drought_agr"", ""flood_urb"", ""drought_shp""]}], ""completed_alternative_pathways"": ""no""}"
34,20240909082046936521,"{""existing_id"": ""20240909082046936521"", ""viewport_size"": null, ""current_url"": ""/0-introduction""}"
67,20240910124126128434,"{""current_url"": ""/0-introduction"", ""existing_id"": ""20240910124126128434"", ""viewport_size"": {""width"": 1912, ""height"": 964}, ""impairment"": ""No"", ""completed_introduction"": ""no"", ""viztype_pcp"": 1, ""viztype_heatmap"": 1, ""viztype_pathways"": 1}"
69,20240910132019582838,"{""current_url"": ""/0-introduction"", ""existing_id"": ""20240910132019582838"", ""viewport_size"": {}, ""impairment"": ""No"", ""work"": [""research""], ""expertise"": ""climate adaptation; decision making under uncertainty; delta"", ""use_frequency"": 4, ""viztype_barchart"": 4, ""viztype_pcp"": 3, ""viztype_heatmap"": 3, ""viztype_pathways"": 4, ""completed_introduction"": ""yes""}"
