id,user_id,page,data
2,P_E_AGOPDGxP,/peiling,"{""rankings"": ""Historische Nieuwelaanprijzen = betaalbaar>>Contributie op basis van inkomen van een 18-jarige>>Aanpassen aan huurprijzen van vergelijkbare voormalige kraakpanden in de omgeving>>Terugrekenen vanaf inkomen/ bijstandsniveau (voor student)>>Terugrekenen vanaf inkomen/ bijstandsniveau (voor mens in bijstand)"", ""comment"": null}"
4,P_C_ufqxh2lK,/peiling,"{""rankings"": ""Huurpuntensysteem: Zelfstandige woonruimte (Nieuwelaan telt as sociale huurwoning)>>Gelijk risico lening t.o.v. 2006>>Huurpuntensysteem: Onzelfstandige woonruimte (standaard)>>Huurpuntenontwikkeling>>Aanpassen aan huurprijzen van vergelijkbare voormalige kraakpanden in de omgeving"", ""comment"": null}"
1,P_X_XXXXXXX,/peiling,"{""rankings"": "" "", ""comment"": ""test""}"
3,P_E_40xE0xgh,/peiling,"{""rankings"": "" "", ""comment"": ""Ik heb gisteren een mailtje verstuurd waarin ik de oud-leden die ik ken aanmoedig g\u00e9\u00e9n voorkeur uit te spreken, maar wel van zich te laten horen. Elk verhaal is anders en iedereen heeft andere verwachtingen. Maar iedereen zit al vier jaar zit te wachten. Niet wachten als bij een bushalte, maar je denkt als je op de fiets zit wel eens 'Goh, hoe zat dat nou met die herfinanciering?'. \nDaar zouden jullie een beeld van moeten krijgen, niet bij welk rekenmodel we het 'beste gevoel' hebben. Wat men wil is een zekere eerlijkheid. We hebben er echt best hard aan gewerkt, die Nieuwelaan. En met veel plezier gewoond. Maar de herinnering is wat verzuurd.\n\nDe keus is dus echt aan jullie, kennelijk juridisch, maar ook intellectueel. Maar liefst 11 of wellicht 15 rekenmodellen, dat is te veel om binnen twee weken een zinnige mening over te geven voor mensen die geen PhD in socio-economische wiskunde hebben. En nu zijn daar nog tien pagina's bij gekomen! \nIk zou het kwalijk vinden als jullie de voorkeuren die wel binnen komen als een rechtvaardiging van de uiteindelijke keuze beschouwen. Want ten slotte is de morele keus ook alleen aan jullie. Wij hebben als 'eerste' bewoners de vereniging opgezet, statuten geschreven en die waren niet perfect, maar warboel die nu ontwart moet worden, dat is niet aan ons. Er is veel te laat begonnen en door verschillende idee\u00ebn te lang naast elkaar te laten bestaan - en ook door niet te peilen met oud-bewoners - is dit drukmengsel ontstaan. Zoiets uit het niks naar ons sturen, is niet wat ik bedoelde met dat de vereniging meer moet communiceren met de oud-leden.\n\nTegelijk besef ik dat jij daar niet persoonlijk verantwoordelijk voor bent, of de rest van het bestuur. En het is fantastisch dat er mailtjes komen. Dat moet doorgaan.\nIk heb al eerder gezegd dat ik de oud-leden wil organiseren, en dat was ook mijn voornaamste ambitie met dat mailtje aan mijn mede-oudleden. We zullen ons sowieso verhouden tot de methode die door de ALV wordt aangenomen. Dit mag je beschouwen als mijn feedback onder 2. Je deelt jouw algemene mening over het vraagstuk: \u2018Wat wil je ons voor deze discussie/beslissing mee geven?""}"
5,P_C_dVy3zkIm,/peiling,"{""rankings"": ""Huurpuntensysteem: Onzelfstandige woonruimte (gereduceerd met 1,3 klusuren \u00e0 \u20ac15,- / h)>>Huurpuntensysteem: Onzelfstandige woonruimte (standaard)>>Sociale en lokale context: Kamers elders (lokale context - andere kamers in Delft: kamernet.nl)>>Huurpuntenontwikkeling>>Aanpassen aan huurprijzen van vergelijkbare voormalige kraakpanden in de omgeving"", ""comment"": ""Het huurpuntensysteem spreekt mij het meest aan omdat goed bedacht is en al gehandhaafd wordt. ik verwacht dus minder discussies. daarnaast vindt ik de natura aanvulling als aftrek een mooi idee.  soms heb je meer tijd over om voor de nieuwelaan te werken. het is dan ook de vraag hoe je met de 12 uur per kwartaal in de toekomst omgaat. zou je bijvoorbeeld ook meer verenigingsuren doen om je contributie tijdelijk te verlagen zonder dat het grote invloed heeft op wat alles betaald moet worden? lijkt me wel mooi, bijvoorbeeld als iemand na het afstuderen nog op zoek is naar werk bijvoorbeeld, en de tijd in de nieuwelaan kan investeren.\nik kan me voorstellen dat het oneerlijk lijkt voor de bewoners om een grote contributieverhoging te begroten en dat geld ten gunste komt van een oude generatie die het soms sowieso financieel beter heeft (in de algemeenheid, hoeft niet op alle oud nieuwelaaners van toepassing te zijn).\nbij deze mijn begrip voor dit dilemma.\n\ngeen idee of deze gedachtegang al in het document stond: de aanpassing aan prijzen die voor sociale huur/puntensystem gehanteerd worden lijkt me ook een voordeel voor doorstroom. bewoners die eigenlijk geen zin meer hebben in een woongroep  en niet meer bijdragen maar wel hier blijven plakken omdat het goedkoper is. het financi\u00eble argument om te blijven wordt zo deels weggenomen.\n\nik wou eigenlijk alleen 2 voorkeuren aangeven, de laatste 3 liever niet mee nemen. evtl. de 5de maar ipv kamernet, prijzen van duwo gebruiken en mogelijk corrigeren met huurtoeslag.""}"
6,P_A_OFvMpCmP,/peiling,"{""rankings"": "" "", ""comment"": ""Ik wil slechts \u00e9\u00e9n methode kiezen, maar dit kan niet. Ik wil voor de methode huurpuntensysteem: onzelfstandige woonruimte kiezen. Ik heb dus slechts \u00e9\u00e9n voorkeur en ben het eens met STUT. Dit is een gangbare methode en over 10 of 15 jaar verwacht ik dat er ook nog altijd een dan gangbare methode is. Daarnaast is het belangrijk om ook een 'gangbare' methode voor het bedrag van de klusuren te bepalen. Ik zou hiervoor het minimumloon van een 21-jarige en ouder voor nemen (in 2006 was dit bijvoorbeeld 7,42 en in 2024 13,27). Houd er rekening mee dat veel oud-bewoners in het begin 8 uur per week (en sommigen meer) klusten voor de vereniging, dit naast een druk leven met studie maar veel ook hadden een full-time baan. Zo geven jullie aan \""De meeste huidige bewoners zouden waarschijnlijk hier niet hebben kunnen wonen in 2006, omdat ze de tijd niet hadden kunnen opbrengen om zich genoeg in te zetten voor de groep.\"" Ik vind deze opmerking eigenlijk niet gepast. Veel oud-bewoners hebben juist gekozen om in een woongroep te wonen omdat je samen aan een mooie woonomgeving bijdraagt. Om samen iets moois neer te zetten en daar tijd en energie in te steken. Met deze opmerking lijkt het of de huidige bewoners niet pers\u00e9 voor een 'woongroep' kiezen, maar een (goedkope) woonruimte op een gunstige plek. Misschien is dit niet zo, maar zo komt dit op mij over. Juist deze gezamenlijke inzet, maakt je uniek als woonvereniging. Ik wens jullie succes met de verdere afhandeling. Ik vertrouw erop dat jullie een methode kiezen die hanteerbaar is \u00e9n ook voor in de toekomst duidelijkheid geeft.""}"
7,P_A_RC7onLDg,/peiling,"{""rankings"": "" "", ""comment"": ""(Ik ben lid van de Commissie van Toezicht. Deze reactie is op persoonlijke titel.)\n\nEen korte samenvatting van het lange verhaal hieronder: een verhoging van de contributie om aan (oud-)leden uit te keren is alleen nodig als je ervan uitgaat dat de huidige leden een schuld hebben aan oud-leden en daarom meer moeten betalen dan vroeger. Dat lijkt mij niet het geval. Bovendien lijkt mij dat in strijd met de geest van de Nieuwelaan.\n\nIk vind de Nieuwelaan een fantastische plek. Als ik aan mensen moet uitleggen waarom dat zo is verwijs ik altijd naar de organisatie: de Nieuwelaan is een vereniging waarbij iedereen die er woont gezamenlijk eigenaar is. Er is dus geen overkoepelende eigenaar die er met de winst vandoor gaat. \nDe Nieuwelaan plaatst zich als organisatievorm hiermee buiten de kapitalistische logica. Je betaalt geen huur aan een eigenaar die daar winst op maakt, maar gezamenlijk dragen de Nieuwelaners de kosten van de panden. Fantastisch!\n\nIk maak mij zorgen dat via het uitkeringsmoment de kapitalistische logica alsnog de Nieuwelaan binnensluipt. De redenering is dat zodra iemand lid wordt van de vereniging diegene een schuld heeft aan oud-bewoners. Een schuld die voldaan moet worden omdat oud-leden een soort van eigenaar zijn de panden. \nDe huidige exercitie lijkt vanuit die logica opgezet: geprobeerd wordt te bepalen wat de *maximale* \u2018betaalbare\u2019 contributie is. Door op die wijze de contributie te maximaliseren kan de schuld zo snel mogelijk voldaan kan worden. Dit lijkt mij totaal de verkeerde denkrichting.\n\nDit is mijn visie op de situatie:\nIn 2006 is de contributie bepaald op een sluitende begroting: de kosten moeten voldaan worden, maar meer contributie is niet nodig.\nIn die tijd zagen we ook aankomen dat dat er vermogen binnen de vereniging zou kunnen ophopen. De belangrijkste kostenpost van de vereniging is immers de hypotheek, en die is na 30 jaar afbetaald. Als de hypotheek is afbetaald worden de kosten (veel) lager. \nVanuit een perspectief van eerlijkheid hebben we daarom met elkaar afgesproken dat de contributie gelijk zou blijven. Omdat we nu eenmaal in een samenleving wonen waar er altijd inflatie is betekent dat dat de contributie nooit minder zou zijn dan de contributie in 2006, ge\u00efndexeerd voor inflatie. \nTot zover wat er in de statuten staat. Het achterliggende idee is daarbij is volgens mij: het is eerlijk als iedereen evenveel betaalt voor wonen op de Nieuwelaan. Of die nu in 2006 lid is, in 2026, of in 2046. Ook wilden we rekening houden met mislukken van het project: als na 15 jaar besloten zou worden de zaak te verkopen zou het niet eerlijk zijn als de bewoners die er dan wonen daar rijk van zouden worden.\nDe combinatie van gelijkblijvende contributie met afnemende kosten zou kunnen leiden tot een surplus, een teveel. Een ophoging van vermogen. In dat geval (en, alleen in dat geval), zou dit opgepotte vermogen uitgekeerd kunnen worden aan oud-leden.\n\nIn mijn visie is er in dit model geen plaats voor het concept van een schuld die afgelost wordt. In plaats daarvan is er sprake van het eerlijk verdelen van een potentieel overschot gebaseerd op het uitgangspunt van gelijke woonkosten. En dat hoeft alleen te gebeuren als dat overschot er feitelijk is.\n\nVanuit mijn perspectief zou de vraag dus niet moeten zijn: wat is de maximale contributieverhoging die kan worden doorgevoerd waarbij de Nieuwelaan nog betaalbaar blijft. In plaats daarvan zou de vraag moeten zijn: wat is de minimale contributie die nodig is voor een dekkende begroting, met als minimum de contributie uit 2006 ge\u00efndexeerd voor de inflatie. Dan pas gaan we bepalen of er een overschot is. \n\nDenk ook wat de praktische implicatie is als er nu bijgeleend zou worden om een uitkering te doen aan oud-leden.\n1.\tDe afgelopen jaren is de contributie altijd rond, of net iets boven, de contributie van 2006 geweest (ge\u00efndexeerd voor inflatie). \n2.\tDat betekent dat iedereen evenveel betaald (ge\u00efndexeerd voor inflatie).\n3.\tAls nu een uitkering wordt gedaan, betekent dit dat oud-leden netto minder betalen, zij krijgen immers geld terug.\n4.\tTegelijkertijd betekent het ook dat leden nu meer moeten gaan betalen. Anders kan de uitkering niet gefinancierd worden. \n5.\tGevolg is dat iemand die van 2008-2010 lid is minder betaalt (ge\u00efndexeerd voor inflatie) dan iemand die van 2026-2028 lid is. Dat is voor mij fundamenteel oneerlijk.\n\nDan nog iets over de methodes: Ik ben het met STUT eens dat de enige niet-arbitraire methode ligt in het gebruiken van het huurpuntensysteem. \nMaar let wel: het huurpuntensysteem komt voort uit de beteugeling van de kapitalistische logica: het stelt een maximum aan de huur die gevraagd kan worden door een eigenaar aan een huurder. Mijns inziens zou het absurd zijn als dit maximum gebruikt wordt als richtsnoer voor de contributie van de Nieuwelaan. Juist omdat de Nieuwelaan zich wat mij betreft zou moeten onttrekken aan deze kapitalistische logica van winstmaximalisatie.\nAls de Nieuwelaan zou kiezen voor de maximaal wettelijk toegestane huur voor een kamer komt dat feitelijk neer op winstmaximalisatie voor oud-leden.  \n\nDan nog enige jamaars:\nJa, maar de oud-leden hebben heel hard geklust aan de panden.\nHet huidige model voorziet sowieso niet in een vergoeding voor die klusuren. Als je geld had willen verdienen met je arbeid had je een baan moeten zoeken. \nJa, maar de nu huidige leden krijgen later ook weer een uitkering, dus uiteindelijk betalen ze ook minder. \nDit is gedacht vanuit het kapitalistische model van oneindige groei. Als over tien jaar de huizenmarkt (niet ondenkbaar in de tijden van polycrisis waarin we nu leven) instort is er helemaal geen kapitaal meer om te verdelen. \nJa, maar ik als oud-lid moet nu ook veel meer huur betalen dan in 2006 het geval zou zijn.\nDat is een gevolg van neoliberaal beleid. Het zou beter zijn als dat niet zo was. De oplossing is niet om diezelfde logica door te trekken naar beleid op de Nieuwelaan. Het mooie is juist dat we samen een plek hebben gecre\u00eberd die buiten de kapitalistische logica valt. Laten we daar trots op zijn, en dat koesteren.\n\nJasper van den Herik""}"
8,P_C_Cpze8kWj,/peiling,"{""rankings"": "" "", ""comment"": ""Lieve nieuwelaners, het lijkt me een intensief proces waar jullie doorheen gaan met elkaar. Het is duidelijk dat jullie de taak om een goede beslissing te maken serieus nemen en alle opties zijn verkend. Eerlijk gezegd vind ik het lastig om advies/mening te geven want er is geen \u2018perfecte\u2019 oplossing. De optie die mij het meeste aanspreekt is die van contributie in valuta en natura omdat het wat mij betreft van oudsher de kern is van de Nieuwelaan. Ik denk dat deze visie voorgezet en gedragen moet worden. Samen zorg je voor het pand en voor elkaar.  Als je hierop de contributie bepaald wordt is dit ook meteen een heldere boodschap voor de nieuwkomers. Ik wil in elk geval zeggen dat ik met jullie meeleef en bewondering heb voor de manier waarop dit vraagstuk wordt behandeld: met aandacht en zorg! Het zal jullie hopelijk rust geven als de knoop is doorgehakt. Warme groet, Maaike""}"
9,P_C_EGvpcgzs,/peiling,"{""rankings"": ""Terugrekenen vanaf inkomen/ bijstandsniveau (voor mens in bijstand)>>Contributie in valuta \u00e8n natura als basis>>Huurpuntensysteem: Zelfstandige woonruimte (standaard)>>Sociale en lokale context: Kamers elders (sociale context - andere kamers in woongroepen: woongroep.net)>>Sociale en lokale context: Kamers elders (lokale context - andere kamers in Delft: kamernet.nl)"", ""comment"": ""Zie mijn mails naar Julius d.d. 3-7 en daarvoor hierover (mark adam)\n\nover STUT-consult:\nzegt dat 9 zelfstandige woning huurpuntenmodel niet mag, maar dat mag wel: voor woongroepen is een uitzondering mbt deze variant, zegt de huurcommissie zelf.. zie: https://www.huurcommissie.nl/huurcommissie-helpt/beleidsboeken_html/waarderingsstelsel-zelfstandige-woonruimte/algemene-toelichting#anker-3-2.3-woningwaarderingsstelsel-zelfstandige-woning\nhelemaal onderaan de paragraaf staat het expliciet dat het wel mag voor woongroepen, uitgaande van de huidige jurisprudentie in plaats van vastgelegde regels hierover. \n\n\nik ben geen fan van mijn 1e keuze (terugrekenen bijstandsniveau), sommigen hebben hun sterke kanten, maar het voelt neit \""af\"". dat zit hem in twee dingen:  ik mis een inkomensafhankelijk model.  (hoe lager je inkomen, hoe minder je betaald)  ik mis vooral het toepassen van de 30/40 regel (laagste 40% inkomens wordt maximaal 30% inkomen door woonlasten ingenomen. )  als betaalbaarheid in een model, terwijl die wel wijdverspreid door wetenschap en Wereldbank en UN wordt gebruikt. dus ik snap neit waarom die er niet tussen staat? is er een lage-inkomens-clausule nodig, dan zet deze graag in de statuten, het is belangrijk om een deel van de nieuwelaan lage inkomens te houden om de NWL dynamiek te behouden. hetzelfde geldt voor jullie andere waardes, ik zie dat nergens echt terugkomen. \ninkomensafhankelijk is dus in de praktijk is dat een model wat ergens tussen bv huurpunten onzelfstandig (600 euro voor 20m2\n) en bijstand (300 euro voor 20m2)  inzit, afhankelijk van je inkomen.\nen als tweede ding: snap ik niet zo goed waarom je 12 modellen hebt waar een defintieve winnaar uitkomt, in plaats van dat je een tweede ronde doet en kijkt of je een hybride model kunt maken. geen van de modellen is nu \u00e9cht goed. terwijl er in sommigen wel goede elementen zitten.\n\nals laatste denk ik dat je alvorens te stemmen in de ALV eerst een integriteitsclausule zou moeten aannemen om belangenverstrengeling en onderhandse cadeautjes door oud-leden aan leden niet te tolereren. dat is een reeeel gevaar en jullie hebben nu ook precies de constructie/ verhoudingen zoals bij de voor Nederland zeer ingrijpende  https://nl.wikipedia.org/wiki/Vestia-affaire bijvoorbeeld qua mogelijke integriteitsschendingen - waar dit ook gebeurde. ""}"
10,P_C_LQXPSwI3,/peiling,"{""rankings"": ""Huurpuntensysteem: Onzelfstandige woonruimte (gereduceerd met 1,3 klusuren \u00e0 \u20ac15,- / h)>>Huurpuntensysteem: Onzelfstandige woonruimte (standaard)>>Huurpuntensysteem: Zelfstandige woonruimte (Nieuwelaan telt as sociale huurwoning)>>Huurpuntensysteem: Zelfstandige woonruimte (standaard)>>Contributie in valuta \u00e8n natura als basis"", ""comment"": ""Uitgebreide beschrijving en uitwerkingen. Huurpuntensysteem acht ik het meest transparant en objectief vast te stellen. Dit vanwege de beperkte invloed op de sociale context van alle leden en de keuzevrijheid die zij hierin hebben.""}"
